Year;Sub_Div;RECT;Area;Age1;Age2;Age3;Age4;Age5;Age6;Age7;Age8+
2006.00;24;38G2;832.90;0.00;0.01;0.08;0.01;0.00;0.00;0.00;0.00
2006.00;24;38G3;865.70;233.71;33.62;402.59;143.92;41.03;13.16;10.95;0.00
2006.00;24;38G4;1034.80;87.01;8.09;76.52;22.20;2.78;1.57;1.85;0.00
2006.00;24;39G2;406.10;0.00;0.02;0.24;0.02;0.00;0.00;0.00;0.00
2006.00;24;39G3;765.00;88.27;7.89;92.16;29.53;5.70;2.97;2.38;0.00
2006.00;24;39G4;524.80;28.20;2.79;31.19;9.30;1.22;0.69;0.70;0.00
2006.00;25;37G5;642.20;2.17;0.57;21.65;12.44;5.23;5.32;0.52;1.27
2006.00;25;38G5;1035.70;44.12;14.49;574.72;301.79;124.20;122.01;14.87;27.82
2006.00;25;38G6;940.20;4.44;2.28;84.76;44.30;16.97;16.63;2.30;4.24
2006.00;25;39G4;287.30;96.24;11.95;118.95;32.97;5.47;3.57;1.18;0.99
2006.00;25;39G5;979.00;281.07;48.33;1186.45;389.31;91.48;57.79;26.81;12.61
2006.00;25;39G6;1026.00;144.34;49.36;1768.31;767.60;249.01;222.31;45.26;54.06
2006.00;25;39G7;1026.00;455.48;99.43;2162.97;721.66;159.20;101.06;63.46;20.49
2006.00;25;40G4;677.20;91.97;15.10;359.38;128.53;33.85;24.06;6.86;5.49
2006.00;25;40G5;1012.90;390.77;69.12;1870.18;654.05;155.17;123.33;40.11;26.94
2006.00;25;40G6;1013.00;233.17;39.98;853.88;282.71;62.01;49.65;20.52;9.76
2006.00;25;40G7;1013.00;7.34;3.59;132.41;68.25;20.77;22.70;3.39;5.26
2006.00;25;41G6;764.40;436.69;46.28;1168.00;297.60;42.32;11.60;10.46;2.70
2006.00;25;41G7;1000.00;280.56;39.73;1394.41;413.07;85.09;28.59;23.30;7.73
2006.00;26;38G8;624.60;145.64;90.38;1617.02;722.89;93.63;36.41;1.42;0.00
2006.00;26;38G9;918.20;402.94;277.45;1324.47;537.80;47.67;18.18;34.15;0.00
2006.00;26;39G8;1026.00;232.77;131.23;2436.05;1063.75;204.52;77.22;3.57;0.00
2006.00;26;39G9;1026.00;723.47;742.24;3982.76;1320.14;176.15;3.41;73.57;29.32
2006.00;26;39H0;881.60;245.71;81.35;671.83;239.50;40.61;6.51;8.93;0.52
2006.00;26;40G8;1013.00;75.72;61.65;1242.25;535.82;75.84;32.97;2.08;0.00
2006.00;26;40G9;1013.00;1020.50;460.25;3717.73;890.47;132.54;6.32;85.62;17.92
2006.00;26;40H0;1012.10;125.87;204.36;593.83;502.58;209.39;46.49;57.20;34.47
2006.00;26;41G8;1000.00;667.83;473.71;7021.81;1012.24;644.75;68.34;84.28;285.90
2006.00;26;41G9;1000.00;137.34;193.65;1962.51;701.33;264.61;109.43;102.11;96.33
2006.00;26;41H0;953.30;44.58;164.14;1298.98;387.06;80.04;31.41;0.00;30.39
2006.00;27;42G7;986.90;222.21;113.59;2590.41;1179.35;210.33;53.53;11.05;20.81
