"ANNUS";"Sub_Div";"RECT";"Area";"0";"1";"2";"3";"4";"5";"6";"7";"8"
1993,00;"24";"39G2";406,10;125,51;6,81;8,48;28,55;27,63;13,60;9,40;2,46;2,30
1993,00;"24";"39G3";765,00;18,64;32,50;45,30;74,64;65,03;18,99;7,18;4,23;1,63
1993,00;"24";"39G4";524,80;21,16;24,06;31,52;38,71;33,89;6,39;0,81;2,02;0,11
1993,00;"26";"39H0";881,60;253,94;47,77;222,95;366,29;222,95;143,34;47,77;15,91;0,00
1993,00;"26";"40G9";1013,00;0,00;0,00;90,77;185,18;274,60;181,79;107,35;88,06;129,15
1993,00;"26";"40H0";1012,10;300,00;74,61;436,98;654,45;648,33;388,49;204,00;103,33;196,28
1993,00;"26";"41G9";1000,00;0,00;62,59;295,22;285,34;600,69;260,29;137,65;55,05;29,95
1993,00;"26";"41H0";953,30;0,00;3,83;61,34;46,00;115,02;53,67;26,83;15,33;46,01
1993,00;"28_2";"42G9";986,90;0,00;5,05;56,50;60,55;123,84;81,42;62,26;47,12;49,79
1993,00;"28_2";"42H0";968,50;0,00;33,01;198,73;509,00;434,05;158,23;173,65;42,37;54,18
1993,00;"28_2";"43G9";973,70;7,00;23,44;246,09;234,37;356,13;134,85;41,06;36,65;36,66
1993,00;"28_2";"43H0";973,70;7,00;23,45;246,30;234,40;356,13;134,86;41,07;36,67;36,66
1993,00;"28_2";"43H1";412,70;11,00;22,04;110,21;330,60;275,51;88,17;66,12;22,04;132,24
1993,00;"28_2";"44H0";960,50;0,00;30,59;175,48;168,19;211,08;47,85;39,61;52,93;27,08
1993,00;"28_2";"44H1";824,60;10,00;21,97;109,81;329,42;274,51;87,85;65,88;21,97;131,77
1994,00;"21";"41G0";108,10;6,97;0,00;1,84;0,52;0,00;0,00;0,00;0,00;0,00
1994,00;"21";"41G1";946,80;214,32;0,00;56,63;15,94;0,00;0,00;0,00;0,00;0,00
1994,00;"21";"41G2";432,30;183,52;0,23;0,51;0,15;0,00;0,00;0,00;0,00;0,00
1994,00;"21";"42G1";884,20;436,54;5,61;7,86;1,12;0,00;0,00;0,00;0,00;0,00
1994,00;"21";"42G2";606,80;172,57;2,15;0,60;0,00;0,00;0,00;0,00;0,00;0,00
1994,00;"21";"43G1";699,00;470,77;2,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1994,00;"21";"43G2";107,00;34,78;0,05;0,62;0,44;0,00;0,00;0,00;0,00;0,00
1994,00;"22";"37G0";209,90;253,05;5,67;6,81;0,49;0,61;0,04;0,04;0,04;0,00
1994,00;"22";"37G1";723,30;177,76;19,77;29,09;12,26;8,32;1,28;1,28;2,41;0,00
1994,00;"22";"38F9";51,90;4,96;0,23;0,11;0,00;0,04;0,00;0,00;0,00;0,00
1994,00;"22";"38G0";735,30;1186,25;26,57;31,93;2,28;2,88;0,19;0,19;0,19;0,00
1994,00;"22";"38G1";173,20;310,34;6,46;5,43;0,71;1,12;0,00;0,00;0,00;0,00
1994,00;"22";"39F9";159,30;31,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1994,00;"22";"39G0";201,70;130,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1994,00;"22";"39G1";250,00;27,35;0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1994,00;"22";"40F9";51,30;9,81;0,10;0,03;0,00;0,01;0,00;0,00;0,00;0,00
1994,00;"22";"40G0";538,10;62,69;0,64;0,21;0,00;0,05;0,00;0,00;0,00;0,00
1994,00;"22";"40G1";174,50;3,91;0,04;0,01;0,00;0,00;0,00;0,00;0,00;0,00
1994,00;"22";"41G0";173,10;18,99;0,19;0,06;0,00;0,01;0,00;0,00;0,00;0,00
1994,00;"22";"41G1";18,00;1,05;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1994,00;"23";"39G2";130,90;73,70;3,86;10,10;11,83;17,99;10,57;4,29;1,73;0,00
1994,00;"23";"40G2";164,00;2,72;2,39;16,43;56,54;51,20;32,27;23,54;9,00;2,26
1994,00;"23";"41G2";72,30;40,07;29,25;30,79;23,05;4,43;0,88;0,12;0,24;0,07
1994,00;"24";"37G2";192,40;27,70;8,88;12,13;6,74;5,19;1,18;0,00;0,00;0,00
1994,00;"24";"38G2";832,90;483,70;16,20;31,92;26,34;26,02;8,62;2,49;0,00;0,00
1994,00;"24";"38G3";865,70;622,92;43,52;58,51;47,98;42,23;19,83;5,64;0,00;0,00
1994,00;"24";"38G4";1034,80;297,19;96,93;221,00;125,51;99,67;37,78;4,05;2,70;0,00
1994,00;"24";"39G2";406,10;108,85;5,70;14,92;17,48;26,58;15,61;6,34;2,56;0,00
1994,00;"24";"39G3";765,00;488,92;52,03;155,19;106,92;87,35;41,84;8,66;2,76;0,00
1994,00;"24";"39G4";524,80;102,58;89,37;191,81;103,86;70,07;19,33;3,76;1,88;0,00
1994,00;"25";"37G5";642,20;563,66;8,46;0,00;0,00;8,46;8,46;0,00;8,46;8,46
1994,00;"25";"38G5";1035,70;19,13;128,78;95,59;275,33;230,28;102,04;5,31;7,88;0,00
1994,00;"25";"39G4";287,30;2,94;24,86;31,54;132,09;106,31;21,13;4,71;2,94;0,00
1994,00;"25";"39G5";979,00;5,67;43,13;46,88;184,74;113,95;43,40;3,17;3,57;0,00
1994,00;"25";"39G6";1026,00;74,84;18,14;40,82;185,97;166,13;42,52;27,78;9,06;1,70
1994,00;"25";"39G7";1026,00;49,68;4,22;36,46;103,05;181,79;117,32;25,36;6,34;4,74
1994,00;"25";"40G4";677,20;11,83;99,93;126,80;531,06;427,38;84,95;18,92;11,83;0,00
